# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  9.684265408802140e-01   1.550665238218857e+38   3.723081056892396e+36   5.519686658451659e+36   7.622230599135887e+37   2.296501412830579e+38   
  9.753065681370043e-01   8.423762115369113e+37   3.318435875573503e+35   4.859831260136459e+35   6.385662715249459e+36   1.924002247591026e+37   
  9.833973243476331e-01   1.085652509862903e+39   4.387092531709571e+37   6.513642727862738e+37   5.340271268707322e+38   1.609026950340320e+39   
  9.715163121885901e-01   1.314813801317428e+41   5.625513771437576e+39   8.351400551681605e+39   3.929955928903529e+40   1.184044123003621e+41   
  9.761915572757147e-01   8.845746374813274e+40   4.277678870706909e+39   6.351099409992532e+39   3.070365974930677e+40   9.247563178395180e+40   
  9.738005487204793e-01   4.013256042885087e+39   1.628964931413166e+38   2.416804609207315e+38   1.536735833349088e+39   4.627618924966461e+39   
  9.774664315480948e-01   9.235038744227548e+40   4.515145432249744e+39   6.698744826648498e+39   3.952264519058325e+40   1.190313080032453e+41   
  9.818143838945783e-01   9.456047653872145e+40   4.489863841041077e+39   6.663259991154239e+39   3.582397576862995e+40   1.079028565770454e+41   
  9.732244444841727e-01   8.180728425029147e+37   1.799486867353944e+36   2.667936771861622e+36   3.703071754229986e+37   1.115649372283232e+38   
  9.774236748096703e-01   3.570144975924843e+41   1.481327201716490e+40   2.199229254785807e+40   9.910637052534640e+40   2.986052265973313e+41   
  9.868831138620593e-01   6.549193512530325e+36   8.989662730777406e+34   1.333146880320538e+35   1.908064086700447e+36   5.746795090965863e+36   
  9.881533219951204e-01   9.999263183663793e+36   3.254524820387692e+35   4.828013828744723e+35   5.130557064808741e+36   1.545839934369937e+37   
  9.883351455786520e-01   2.002909557260063e+41   6.677333420968746e+39   9.908105458441408e+39   3.381357027535733e+40   1.018419914055177e+41   
  9.835622877313583e-01   8.688984989319620e+39   4.105614655712766e+38   6.093297185804623e+38   3.252720134452175e+39   9.797037758450660e+39   
  9.848199223104475e-01   3.707146222034559e+39   1.793903153592861e+38   2.661762868527632e+38   1.550478211732582e+39   4.669468737884087e+39   
  9.886503590743116e-01   4.253767173037455e+38   2.166168972000591e+37   3.219305949109231e+37   2.117846681364897e+38   6.381084809255007e+38   
  9.869025171441843e-01   8.938226025165158e+39   4.332671974959978e+38   6.428089917577937e+38   3.814004970969394e+39   1.148628898418753e+40   
  9.844175313659642e-01   6.369271704218564e+39   2.901151751572531e+38   4.304940745740307e+38   2.817986289640186e+39   8.486782291611377e+39   
  9.805866776786565e-01   2.365030304918734e+38   8.821629176715467e+36   1.308661254928675e+37   1.168548756757424e+38   3.520820649808952e+38   
  9.872209503921636e-01   6.211271368067336e+38   1.851495350679705e+37   2.749060772124516e+37   2.502292646983657e+38   7.538134778356192e+38   
  9.809444964733580e-01   2.144854912787295e+40   8.374935087514159e+38   1.242121336476842e+39   7.735959856616241e+39   2.330057589919839e+40   
  9.825220967544632e-01   6.225880489286198e+40   4.497892314925397e+37   6.663804261323516e+37   7.580172567948922e+37   2.279082425808563e+38   
  9.782896894933890e-01   3.763350674718231e+40   1.751217929951794e+39   2.599139631288243e+39   1.356080545029741e+40   4.084762295231290e+40   
  9.845115825051889e-01   4.386348019290253e+40   2.126089521673173e+39   3.154604931054469e+39   1.825238142149550e+40   5.497063806939297e+40   
