# z    ,     O[III] EW / H beta EW
     0.687800,     0.459395
     0.796465,     0.693776
     0.741849,     0.838215
     0.788666,      2.68126
     0.658874,      1.12764
     0.771636,      1.02470
     0.760135,      1.47546
     0.739408,      1.01773
     0.762524,      2.08064
     0.766112,      1.16139
     0.765079,      1.13851
     0.717672,    0.0694683
     0.762645,   -0.0274952
     0.763334,     0.532614
     0.761845,      5.71856
     0.802698,      1.90597
     0.763214,      1.03077
     0.762202,     0.656580
     0.761009,      1.91403
     0.855549,     -1126.15
     0.729308,      1.93868
     0.864924,     -1522.06
     0.711907,      1.32072
     0.717715,      1.47733
     0.879081,     -318.386
     0.771283,     0.552836
     0.740170,     0.853921
     0.728352,      3.13354
     0.785702,      1.96350
     0.841666,     -2165.81
     0.721252,      3.63199
     0.788334,      1.20116
     0.806153,      1.75974
     0.865389,     -918.991
     0.788205,      2.03995
     0.829474,     -363.372
     0.733304,     0.343328
     0.788801,      4.60950
     0.878771,     -396.880
     0.650342,      4.54354
     0.677199,      4.68630
     0.877373,     -682.995
     0.677291,    -0.209666
     0.719660,    -0.258512
     0.821672,     -1013.75
     0.856048,     -801.988
     0.716592,      7.15932
     0.821187,     -489.848
     0.861936,     -1220.08
     0.681780,      4.96788
     0.855881,     -1471.49
     0.789069,    -0.107248
     0.859453,     -779.379
     0.764144,      2.48762
     0.840816,     -504.849
     0.849200,     -816.794
     0.722954,      3.86897
     0.718838,   -0.0478180
     0.688698,      1.07583
     0.689006,      3.25582
     0.689131,     0.517603
     0.751494,     0.155574
     0.723080,      4.08895
     0.806827,     -490.328
     0.888813,     -912.031
     0.757090,      1.86342
     0.778824,     0.830580
     0.807271,      1.73201
     0.841737,     -865.345
     0.718233,     0.120571
     0.659314,      1.32568
     0.766524,  -0.00570610
     0.724613,     0.658729
     0.875035,     -263.391
     0.767543,      2.27934
     0.764461,      1.12431
     0.768582,      1.34148
     0.766901,     0.409796
     0.766514,      3.90860
     0.766940,      4.17457
     0.760743,      2.00445
     0.760411,      2.07144
     0.863924,     -520.016
     0.763453,      3.96401
     0.858896,     -666.398
     0.771866,      1.39846
     0.657696,    0.0855836
     0.854527,     -627.472
     0.753943,      2.66906
     0.771816,      4.53512
     0.732869,      2.70960
     0.772045,      2.01575
     0.852452,     -1101.78
     0.728076,      5.09901
     0.863571,     -129.732
     0.844792,     -330.942
     0.668308,     0.865493
     0.739698,     0.667596
     0.787862,      2.64292
     0.785514,      1.56690
     0.770221,    -0.197051
     0.731655,     0.881389
     0.810001,     -894.210
     0.718101,     0.468203
     0.850981,     -532.836
     0.778764,     0.733774
     0.808100,      1.69498
     0.682490,      3.21848
     0.732359,      1.55955
     0.850111,     -215.697
     0.809998,     -758.804
